# t_pr   N      a     H/m         f              df/m        energy_pr         E        epsilon       eta
# -----------------------------------------------------------------------------------------------------------------
29.190  55.552  1336158516589554812583936.000  1.16602  -2.8765999e+00  +2.8383150e-02  +2.285e-48  +1.000e+00  +2.963e-04  -6.108e+00
29.192  55.554  1339278136668133720588288.000  1.16602  -2.8765433e+00  +2.8181698e-02  +2.274e-48  +1.000e+00  +2.921e-04  -6.108e+00
29.194  55.557  1342405038203348960935936.000  1.16602  -2.8764872e+00  +2.7981690e-02  +2.263e-48  +1.000e+00  +2.879e-04  -6.107e+00
29.196  55.559  1345539238215985471160320.000  1.16602  -2.8764314e+00  +2.7783116e-02  +2.253e-48  +1.000e+00  +2.839e-04  -6.107e+00
29.198  55.561  1348680753766312896888832.000  1.16602  -2.8763760e+00  +2.7585965e-02  +2.242e-48  +1.000e+00  +2.799e-04  -6.107e+00
29.200  55.564  1351829601954182228606976.000  1.16602  -2.8763210e+00  +2.7390227e-02  +2.232e-48  +1.000e+00  +2.759e-04  -6.106e+00
29.202  55.566  1354985799919120559374336.000  1.16602  -2.8762665e+00  +2.7195893e-02  +2.222e-48  +1.000e+00  +2.720e-04  -6.106e+00
29.204  55.568  1358149364840427721588736.000  1.16602  -2.8762123e+00  +2.7002952e-02  +2.211e-48  +1.000e+00  +2.682e-04  -6.105e+00
29.206  55.570  1361320313937271044702208.000  1.16602  -2.8761584e+00  +2.6811394e-02  +2.201e-48  +1.000e+00  +2.644e-04  -6.105e+00
29.208  55.573  1364498664468780381372416.000  1.16602  -2.8761050e+00  +2.6621211e-02  +2.191e-48  +1.000e+00  +2.606e-04  -6.104e+00
29.210  55.575  1367684433734145817968640.000  1.16602  -2.8760520e+00  +2.6432392e-02  +2.181e-48  +1.000e+00  +2.569e-04  -6.104e+00
29.212  55.577  1370877639072713506029568.000  1.16602  -2.8759993e+00  +2.6244927e-02  +2.170e-48  +1.000e+00  +2.533e-04  -6.103e+00
29.214  55.580  1374078297864082299027456.000  1.16601  -2.8759470e+00  +2.6058808e-02  +2.160e-48  +1.000e+00  +2.497e-04  -6.103e+00
29.216  55.582  1377286427528199046955008.000  1.16601  -2.8758950e+00  +2.5874024e-02  +2.150e-48  +1.000e+00  +2.462e-04  -6.102e+00
29.218  55.584  1380502045525457917444096.000  1.16601  -2.8758435e+00  +2.5690567e-02  +2.140e-48  +1.000e+00  +2.427e-04  -6.102e+00
29.220  55.587  1383725169356796227223552.000  1.16601  -2.8757923e+00  +2.5508426e-02  +2.130e-48  +1.000e+00  +2.393e-04  -6.101e+00
29.222  55.589  1386955816563790542012416.000  1.16601  -2.8757414e+00  +2.5327593e-02  +2.120e-48  +1.000e+00  +2.359e-04  -6.101e+00
29.224  55.591  1390194004728756534509568.000  1.16601  -2.8756910e+00  +2.5148058e-02  +2.110e-48  +1.000e+00  +2.326e-04  -6.100e+00
29.226  55.594  1393439751474844010545152.000  1.16601  -2.8756409e+00  +2.4969813e-02  +2.101e-48  +1.000e+00  +2.293e-04  -6.100e+00
29.228  55.596  1396693074466138109247488.000  1.16601  -2.8755911e+00  +2.4792847e-02  +2.091e-48  +1.000e+00  +2.261e-04  -6.099e+00
29.230  55.598  1399953991407752987017216.000  1.16601  -2.8755417e+00  +2.4617153e-02  +2.081e-48  +1.000e+00  +2.229e-04  -6.098e+00
29.232  55.601  1403222520045934896742400.000  1.16601  -2.8754926e+00  +2.4442720e-02  +2.071e-48  +1.000e+00  +2.197e-04  -6.098e+00
29.234  55.603  1406498678168156408643584.000  1.16601  -2.8754439e+00  +2.4269541e-02  +2.062e-48  +1.000e+00  +2.166e-04  -6.097e+00
29.236  55.605  1409782483603218147311616.000  1.16601  -2.8753955e+00  +2.4097606e-02  +2.052e-48  +1.000e+00  +2.136e-04  -6.097e+00
29.238  55.608  1413073954221345965342720.000  1.16601  -2.8753475e+00  +2.3926907e-02  +2.043e-48  +1.000e+00  +2.105e-04  -6.096e+00
29.240  55.610  1416373107934290532892672.000  1.16601  -2.8752998e+00  +2.3757435e-02  +2.033e-48  +1.000e+00  +2.076e-04  -6.095e+00
29.242  55.612  1419679962695426658795520.000  1.16601  -2.8752525e+00  +2.3589180e-02  +2.024e-48  +1.000e+00  +2.046e-04  -6.095e+00
29.244  55.615  1422994536499853148553216.000  1.16601  -2.8752055e+00  +2.3422136e-02  +2.014e-48  +1.000e+00  +2.018e-04  -6.094e+00
29.246  55.617  1426316847384492393889792.000  1.16601  -2.8751588e+00  +2.3256292e-02  +2.005e-48  +1.000e+00  +1.989e-04  -6.093e+00
29.248  55.619  1429646913428187546386432.000  1.16600  -2.8751124e+00  +2.3091640e-02  +1.996e-48  +1.000e+00  +1.961e-04  -6.093e+00
29.250  55.622  1432984752751807744180224.000  1.16600  -2.8750664e+00  +2.2928173e-02  +1.986e-48  +1.000e+00  +1.933e-04  -6.092e+00
29.252  55.624  1436330383518344480292864.000  1.16600  -2.8750207e+00  +2.2765881e-02  +1.977e-48  +1.000e+00  +1.906e-04  -6.091e+00
29.254  55.626  1439683823933013339668480.000  1.16600  -2.8749754e+00  +2.2604757e-02  +1.968e-48  +1.000e+00  +1.879e-04  -6.091e+00
29.256  55.629  1443045092243354930905088.000  1.16600  -2.8749303e+00  +2.2444792e-02  +1.959e-48  +1.000e+00  +1.853e-04  -6.090e+00
29.258  55.631  1446414206739335817986048.000  1.16600  -2.8748856e+00  +2.2285977e-02  +1.950e-48  +1.000e+00  +1.827e-04  -6.089e+00
29.260  55.633  1449791185753448109834240.000  1.16600  -2.8748412e+00  +2.2128305e-02  +1.940e-48  +1.000e+00  +1.801e-04  -6.089e+00
29.262  55.636  1453176047660813076398080.000  1.16600  -2.8747971e+00  +2.1971768e-02  +1.931e-48  +1.000e+00  +1.775e-04  -6.088e+00
29.264  55.638  1456568810879282885689344.000  1.16600  -2.8747533e+00  +2.1816358e-02  +1.922e-48  +1.000e+00  +1.750e-04  -6.087e+00
29.266  55.640  1459969493869540193337344.000  1.16600  -2.8747098e+00  +2.1662066e-02  +1.914e-48  +1.000e+00  +1.726e-04  -6.086e+00
29.268  55.643  1463378115135199879626752.000  1.16600  -2.8746666e+00  +2.1508885e-02  +1.905e-48  +1.000e+00  +1.701e-04  -6.085e+00
29.270  55.645  1466794693222915081502720.000  1.16600  -2.8746238e+00  +2.1356806e-02  +1.896e-48  +1.000e+00  +1.677e-04  -6.085e+00
29.272  55.647  1470219246722474903076864.000  1.16600  -2.8745812e+00  +2.1205823e-02  +1.887e-48  +1.000e+00  +1.654e-04  -6.084e+00
29.274  55.650  1473651794266910984503296.000  1.16600  -2.8745389e+00  +2.1055926e-02  +1.878e-48  +1.000e+00  +1.631e-04  -6.083e+00
29.276  55.652  1477092354532598165274624.000  1.16600  -2.8744970e+00  +2.0907110e-02  +1.869e-48  +1.000e+00  +1.608e-04  -6.082e+00
29.278  55.654  1480540946239357563437056.000  1.16600  -2.8744553e+00  +2.0759365e-02  +1.861e-48  +1.000e+00  +1.585e-04  -6.081e+00
29.280  55.657  1483997588150561533853696.000  1.16600  -2.8744139e+00  +2.0612684e-02  +1.852e-48  +1.000e+00  +1.563e-04  -6.081e+00
29.282  55.659  1487462299073233794629632.000  1.16600  -2.8743729e+00  +2.0467060e-02  +1.843e-48  +1.000e+00  +1.541e-04  -6.080e+00
29.284  55.661  1490935097858157875036160.000  1.16600  -2.8743321e+00  +2.0322485e-02  +1.835e-48  +1.000e+00  +1.519e-04  -6.079e+00
29.286  55.664  1494416003399976973500416.000  1.16600  -2.8742916e+00  +2.0178952e-02  +1.826e-48  +1.000e+00  +1.498e-04  -6.078e+00
29.288  55.666  1497905034637300526481408.000  1.16600  -2.8742514e+00  +2.0036453e-02  +1.818e-48  +1.000e+00  +1.476e-04  -6.077e+00
29.290  55.668  1501402210552807019249664.000  1.16599  -2.8742114e+00  +1.9894981e-02  +1.809e-48  +1.000e+00  +1.456e-04  -6.076e+00
29.292  55.671  1504907550173350554763264.000  1.16599  -2.8741718e+00  +1.9754529e-02  +1.801e-48  +1.000e+00  +1.435e-04  -6.075e+00
29.294  55.673  1508421072570064469753856.000  1.16599  -2.8741324e+00  +1.9615089e-02  +1.793e-48  +1.000e+00  +1.415e-04  -6.074e+00
29.296  55.675  1511942796858463877070848.000  1.16599  -2.8740933e+00  +1.9476654e-02  +1.784e-48  +1.000e+00  +1.395e-04  -6.074e+00
29.298  55.678  1515472742198557603266560.000  1.16599  -2.8740545e+00  +1.9339218e-02  +1.776e-48  +1.000e+00  +1.375e-04  -6.073e+00
29.300  55.680  1519010927794946972844032.000  1.16599  -2.8740160e+00  +1.9202772e-02  +1.768e-48  +1.000e+00  +1.356e-04  -6.072e+00
29.302  55.682  1522557372896935866793984.000  1.16599  -2.8739777e+00  +1.9067311e-02  +1.759e-48  +1.000e+00  +1.337e-04  -6.071e+00
29.304  55.685  1526112096798633264939008.000  1.16599  -2.8739397e+00  +1.8932826e-02  +1.751e-48  +1.000e+00  +1.318e-04  -6.070e+00
29.306  55.687  1529675118839061693857792.000  1.16599  -2.8739020e+00  +1.8799311e-02  +1.743e-48  +1.000e+00  +1.300e-04  -6.069e+00
29.308  55.689  1533246458402264869502976.000  1.16599  -2.8738645e+00  +1.8666760e-02  +1.735e-48  +1.000e+00  +1.281e-04  -6.068e+00
29.310  55.692  1536826134917410239545344.000  1.16599  -2.8738273e+00  +1.8535164e-02  +1.727e-48  +1.000e+00  +1.263e-04  -6.067e+00
29.312  55.694  1540414167858900652523520.000  1.16599  -2.8737903e+00  +1.8404518e-02  +1.719e-48  +1.000e+00  +1.246e-04  -6.066e+00
29.314  55.696  1544010576746478510800896.000  1.16599  -2.8737537e+00  +1.8274815e-02  +1.711e-48  +1.000e+00  +1.228e-04  -6.065e+00
29.316  55.699  1547615381145333144748032.000  1.16599  -2.8737172e+00  +1.8146048e-02  +1.703e-48  +1.000e+00  +1.211e-04  -6.064e+00
29.318  55.701  1551228600666209260666880.000  1.16599  -2.8736811e+00  +1.8018210e-02  +1.695e-48  +1.000e+00  +1.194e-04  -6.063e+00
29.320  55.703  1554850254965515120279552.000  1.16599  -2.8736452e+00  +1.7891295e-02  +1.687e-48  +1.000e+00  +1.177e-04  -6.062e+00
29.322  55.706  1558480363745429109604352.000  1.16599  -2.8736095e+00  +1.7765295e-02  +1.679e-48  +1.000e+00  +1.161e-04  -6.061e+00
29.324  55.708  1562118946754009797492736.000  1.16599  -2.8735741e+00  +1.7640206e-02  +1.671e-48  +1.000e+00  +1.144e-04  -6.059e+00
29.326  55.710  1565766023785303846682624.000  1.16599  -2.8735390e+00  +1.7516019e-02  +1.664e-48  +1.000e+00  +1.128e-04  -6.058e+00
29.328  55.713  1569421614679453656416256.000  1.16599  -2.8735041e+00  +1.7392729e-02  +1.656e-48  +1.000e+00  +1.113e-04  -6.057e+00
29.330  55.715  1573085739322808226283520.000  1.16599  -2.8734694e+00  +1.7270330e-02  +1.648e-48  +1.000e+00  +1.097e-04  -6.056e+00
29.332  55.717  1576758417648029993533440.000  1.16599  -2.8734350e+00  +1.7148814e-02  +1.641e-48  +1.000e+00  +1.082e-04  -6.055e+00
29.334  55.720  1580439669634207575965696.000  1.16599  -2.8734008e+00  +1.7028176e-02  +1.633e-48  +1.000e+00  +1.066e-04  -6.054e+00
29.336  55.722  1584129515306962340806656.000  1.16599  -2.8733669e+00  +1.6908409e-02  +1.625e-48  +1.000e+00  +1.051e-04  -6.053e+00
29.338  55.724  1587827974738560073859072.000  1.16599  -2.8733332e+00  +1.6789507e-02  +1.618e-48  +1.000e+00  +1.037e-04  -6.052e+00
29.340  55.727  1591535068048021306474496.000  1.16599  -2.8732997e+00  +1.6671465e-02  +1.610e-48  +1.000e+00  +1.022e-04  -6.050e+00
29.342  55.729  1595250815401230300348416.000  1.16599  -2.8732665e+00  +1.6554275e-02  +1.603e-48  +1.000e+00  +1.008e-04  -6.049e+00
29.344  55.731  1598975237011047521976320.000  1.16599  -2.8732335e+00  +1.6437932e-02  +1.595e-48  +1.000e+00  +9.938e-05  -6.048e+00
29.346  55.734  1602708353137419969626112.000  1.16599  -2.8732007e+00  +1.6322429e-02  +1.588e-48  +1.000e+00  +9.798e-05  -6.047e+00
29.348  55.736  1606450184087490426568704.000  1.16599  -2.8731682e+00  +1.6207761e-02  +1.580e-48  +1.000e+00  +9.661e-05  -6.046e+00
29.350  55.738  1610200750215712619888640.000  1.16599  -2.8731359e+00  +1.6093922e-02  +1.573e-48  +1.000e+00  +9.526e-05  -6.044e+00
29.352  55.741  1613960071923958863101952.000  1.16598  -2.8731038e+00  +1.5980906e-02  +1.566e-48  +1.000e+00  +9.393e-05  -6.043e+00
29.354  55.743  1617728169661636557144064.000  1.16598  -2.8730720e+00  +1.5868707e-02  +1.558e-48  +1.000e+00  +9.261e-05  -6.042e+00
29.356  55.745  1621505063925795027681280.000  1.16598  -2.8730403e+00  +1.5757319e-02  +1.551e-48  +1.000e+00  +9.132e-05  -6.041e+00
29.358  55.748  1625290775261242026098688.000  1.16598  -2.8730089e+00  +1.5646736e-02  +1.544e-48  +1.000e+00  +9.004e-05  -6.039e+00
29.360  55.750  1629085324260654324908032.000  1.16598  -2.8729777e+00  +1.5536952e-02  +1.537e-48  +1.000e+00  +8.878e-05  -6.038e+00
29.362  55.752  1632888731564692071251968.000  1.16598  -2.8729468e+00  +1.5427963e-02  +1.530e-48  +1.000e+00  +8.754e-05  -6.037e+00
29.364  55.755  1636701017862110724489216.000  1.16598  -2.8729160e+00  +1.5319762e-02  +1.523e-48  +1.000e+00  +8.632e-05  -6.035e+00
29.366  55.757  1640522203889874067521536.000  1.16598  -2.8728855e+00  +1.5212343e-02  +1.515e-48  +1.000e+00  +8.511e-05  -6.034e+00
29.368  55.759  1644352310433270976217088.000  1.16598  -2.8728552e+00  +1.5105701e-02  +1.508e-48  +1.000e+00  +8.392e-05  -6.033e+00
29.370  55.762  1648191358326022793592832.000  1.16598  -2.8728251e+00  +1.4999831e-02  +1.501e-48  +1.000e+00  +8.275e-05  -6.031e+00
29.372  55.764  1652039368450406541688832.000  1.16598  -2.8727952e+00  +1.4894726e-02  +1.494e-48  +1.000e+00  +8.159e-05  -6.030e+00
29.374  55.766  1655896361737360953573376.000  1.16598  -2.8727655e+00  +1.4790382e-02  +1.487e-48  +1.000e+00  +8.045e-05  -6.028e+00
29.376  55.769  1659762359166607000862720.000  1.16598  -2.8727360e+00  +1.4686793e-02  +1.481e-48  +1.000e+00  +7.933e-05  -6.027e+00
29.378  55.771  1663637381766759294435328.000  1.16598  -2.8727068e+00  +1.4583953e-02  +1.474e-48  +1.000e+00  +7.822e-05  -6.026e+00
29.380  55.773  1667521450615442316984320.000  1.16598  -2.8726777e+00  +1.4481857e-02  +1.467e-48  +1.000e+00  +7.713e-05  -6.024e+00
29.382  55.776  1671414586839405581828096.000  1.16598  -2.8726488e+00  +1.4380501e-02  +1.460e-48  +1.000e+00  +7.606e-05  -6.023e+00
29.384  55.778  1675316811614641207640064.000  1.16598  -2.8726202e+00  +1.4279877e-02  +1.453e-48  +1.000e+00  +7.500e-05  -6.021e+00
29.386  55.780  1679228146166498003517440.000  1.16598  -2.8725917e+00  +1.4179983e-02  +1.446e-48  +1.000e+00  +7.395e-05  -6.020e+00
29.388  55.783  1683148611769797969969152.000  1.16598  -2.8725634e+00  +1.4080811e-02  +1.440e-48  +1.000e+00  +7.292e-05  -6.018e+00
29.390  55.785  1687078229748951726161920.000  1.16598  -2.8725354e+00  +1.3982357e-02  +1.433e-48  +1.000e+00  +7.190e-05  -6.017e+00
29.392  55.787  1691017021478077963698176.000  1.16598  -2.8725075e+00  +1.3884616e-02  +1.426e-48  +1.000e+00  +7.090e-05  -6.015e+00
29.394  55.790  1694965008381117800120320.000  1.16598  -2.8724798e+00  +1.3787583e-02  +1.420e-48  +1.000e+00  +6.991e-05  -6.014e+00
29.396  55.792  1698922211931953427382272.000  1.16598  -2.8724524e+00  +1.3691252e-02  +1.413e-48  +1.000e+00  +6.894e-05  -6.012e+00
29.398  55.794  1702888653654525955014656.000  1.16598  -2.8724251e+00  +1.3595619e-02  +1.406e-48  +1.000e+00  +6.798e-05  -6.011e+00
29.400  55.797  1706864355122950837370880.000  1.16598  -2.8723980e+00  +1.3500678e-02  +1.400e-48  +1.000e+00  +6.703e-05  -6.009e+00
29.402  55.799  1710849337961639743324160.000  1.16598  -2.8723711e+00  +1.3406425e-02  +1.393e-48  +1.000e+00  +6.610e-05  -6.008e+00
29.404  55.801  1714843623845415178207232.000  1.16598  -2.8723444e+00  +1.3312855e-02  +1.387e-48  +1.000e+00  +6.518e-05  -6.006e+00
29.406  55.804  1718847234499631548203008.000  1.16598  -2.8723178e+00  +1.3219962e-02  +1.380e-48  +1.000e+00  +6.428e-05  -6.004e+00
29.408  55.806  1722860191700293003509760.000  1.16598  -2.8722915e+00  +1.3127743e-02  +1.374e-48  +1.000e+00  +6.338e-05  -6.003e+00
29.410  55.808  1726882517274171281506304.000  1.16598  -2.8722653e+00  +1.3036191e-02  +1.368e-48  +1.000e+00  +6.250e-05  -6.001e+00
29.412  55.811  1730914233098927844884480.000  1.16598  -2.8722393e+00  +1.2945303e-02  +1.361e-48  +1.000e+00  +6.163e-05  -6.000e+00
29.414  55.813  1734955361103230919507968.000  1.16598  -2.8722135e+00  +1.2855074e-02  +1.355e-48  +1.000e+00  +6.078e-05  -5.998e+00
29.416  55.815  1739005923266877632544768.000  1.16598  -2.8721879e+00  +1.2765498e-02  +1.349e-48  +1.000e+00  +5.993e-05  -5.996e+00
29.418  55.818  1743065941620911855632384.000  1.16598  -2.8721625e+00  +1.2676571e-02  +1.342e-48  +1.000e+00  +5.910e-05  -5.994e+00
29.420  55.820  1747135438247747416752128.000  1.16598  -2.8721372e+00  +1.2588289e-02  +1.336e-48  +1.000e+00  +5.828e-05  -5.993e+00
29.422  55.822  1751214435281287017136128.000  1.16598  -2.8721121e+00  +1.2500647e-02  +1.330e-48  +1.000e+00  +5.747e-05  -5.991e+00
29.424  55.825  1755302954907042490351616.000  1.16598  -2.8720872e+00  +1.2413640e-02  +1.324e-48  +1.000e+00  +5.667e-05  -5.989e+00
29.426  55.827  1759401019362257745739776.000  1.16598  -2.8720625e+00  +1.2327263e-02  +1.318e-48  +1.000e+00  +5.589e-05  -5.988e+00
29.428  55.829  1763508650936029564370944.000  1.16598  -2.8720379e+00  +1.2241513e-02  +1.311e-48  +1.000e+00  +5.511e-05  -5.986e+00
29.430  55.832  1767625871969429737177088.000  1.16598  -2.8720135e+00  +1.2156385e-02  +1.305e-48  +1.000e+00  +5.435e-05  -5.984e+00
29.432  55.834  1771752704855627739955200.000  1.16598  -2.8719893e+00  +1.2071874e-02  +1.299e-48  +1.000e+00  +5.360e-05  -5.982e+00
29.434  55.836  1775889172040010455580672.000  1.16598  -2.8719652e+00  +1.1987975e-02  +1.293e-48  +1.000e+00  +5.285e-05  -5.980e+00
29.436  55.839  1780035296020308875542528.000  1.16598  -2.8719413e+00  +1.1904685e-02  +1.287e-48  +1.000e+00  +5.212e-05  -5.979e+00
29.438  55.841  1784191099346716479979520.000  1.16598  -2.8719176e+00  +1.1821999e-02  +1.281e-48  +1.000e+00  +5.140e-05  -5.977e+00
29.440  55.843  1788356604622016207650816.000  1.16598  -2.8718940e+00  +1.1739913e-02  +1.275e-48  +1.000e+00  +5.069e-05  -5.975e+00
29.442  55.846  1792531834501702594068480.000  1.16598  -2.8718706e+00  +1.1658422e-02  +1.269e-48  +1.000e+00  +4.999e-05  -5.973e+00
29.444  55.848  1796716811694105520242688.000  1.16598  -2.8718474e+00  +1.1577522e-02  +1.263e-48  +1.000e+00  +4.930e-05  -5.971e+00
29.446  55.850  1800911558960513424556032.000  1.16598  -2.8718243e+00  +1.1497209e-02  +1.258e-48  +1.000e+00  +4.862e-05  -5.969e+00
29.448  55.853  1805116099115298930556928.000  1.16598  -2.8718014e+00  +1.1417479e-02  +1.252e-48  +1.000e+00  +4.794e-05  -5.967e+00
29.450  55.855  1809330455026042595704832.000  1.16598  -2.8717786e+00  +1.1338327e-02  +1.246e-48  +1.000e+00  +4.728e-05  -5.965e+00
29.452  55.857  1813554649613658539163648.000  1.16598  -2.8717560e+00  +1.1259750e-02  +1.240e-48  +1.000e+00  +4.663e-05  -5.963e+00
29.454  55.860  1817788705852518458982400.000  1.16598  -2.8717336e+00  +1.1181742e-02  +1.234e-48  +1.000e+00  +4.598e-05  -5.961e+00
29.456  55.862  1822032646770579138936832.000  1.16598  -2.8717113e+00  +1.1104301e-02  +1.229e-48  +1.000e+00  +4.535e-05  -5.959e+00
29.458  55.864  1826286495449505123532800.000  1.16598  -2.8716892e+00  +1.1027422e-02  +1.223e-48  +1.000e+00  +4.472e-05  -5.957e+00
29.460  55.867  1830550275024798909202432.000  1.16598  -2.8716672e+00  +1.0951100e-02  +1.217e-48  +1.000e+00  +4.411e-05  -5.955e+00
29.462  55.869  1834824008685922814001152.000  1.16598  -2.8716454e+00  +1.0875333e-02  +1.211e-48  +1.000e+00  +4.350e-05  -5.953e+00
29.464  55.871  1839107719676428095062016.000  1.16598  -2.8716237e+00  +1.0800115e-02  +1.206e-48  +1.000e+00  +4.290e-05  -5.951e+00
29.466  55.874  1843401431294081650130944.000  1.16597  -2.8716022e+00  +1.0725444e-02  +1.200e-48  +1.000e+00  +4.231e-05  -5.949e+00
29.468  55.876  1847705166890992719101952.000  1.16597  -2.8715808e+00  +1.0651315e-02  +1.195e-48  +1.000e+00  +4.173e-05  -5.947e+00
29.470  55.878  1852018949873740390858752.000  1.16597  -2.8715596e+00  +1.0577723e-02  +1.189e-48  +1.000e+00  +4.115e-05  -5.945e+00
29.472  55.881  1856342803703501915422720.000  1.16597  -2.8715385e+00  +1.0504667e-02  +1.184e-48  +1.000e+00  +4.058e-05  -5.943e+00
29.474  55.883  1860676751896179405488128.000  1.16597  -2.8715176e+00  +1.0432140e-02  +1.178e-48  +1.000e+00  +4.003e-05  -5.941e+00
29.476  55.885  1865020818022530564489216.000  1.16597  -2.8714968e+00  +1.0360140e-02  +1.173e-48  +1.000e+00  +3.948e-05  -5.939e+00
29.478  55.888  1869375025708294851264512.000  1.16597  -2.8714761e+00  +1.0288664e-02  +1.167e-48  +1.000e+00  +3.893e-05  -5.936e+00
29.480  55.890  1873739398634323671252992.000  1.16597  -2.8714556e+00  +1.0217706e-02  +1.162e-48  +1.000e+00  +3.840e-05  -5.934e+00
29.482  55.892  1878113960536709493948416.000  1.16597  -2.8714352e+00  +1.0147263e-02  +1.156e-48  +1.000e+00  +3.787e-05  -5.932e+00
29.484  55.895  1882498735206914701918208.000  1.16597  -2.8714150e+00  +1.0077333e-02  +1.151e-48  +1.000e+00  +3.735e-05  -5.930e+00
29.486  55.897  1886893746491902587305984.000  1.16597  -2.8713949e+00  +1.0007910e-02  +1.146e-48  +1.000e+00  +3.684e-05  -5.928e+00
29.488  55.899  1891299018294266469285888.000  1.16597  -2.8713750e+00  +9.9389914e-03  +1.140e-48  +1.000e+00  +3.633e-05  -5.925e+00
29.490  55.902  1895714574572360153694208.000  1.16597  -2.8713552e+00  +9.8705737e-03  +1.135e-48  +1.000e+00  +3.583e-05  -5.923e+00
29.492  55.904  1900140439340430540144640.000  1.16597  -2.8713355e+00  +9.8026530e-03  +1.130e-48  +1.000e+00  +3.534e-05  -5.921e+00
29.494  55.906  1904576636668745128869888.000  1.16597  -2.8713160e+00  +9.7352257e-03  +1.124e-48  +1.000e+00  +3.486e-05  -5.918e+00
29.496  55.909  1909023190683724627836928.000  1.16597  -2.8712966e+00  +9.6682885e-03  +1.119e-48  +1.000e+00  +3.438e-05  -5.916e+00
29.498  55.911  1913480125568077438910464.000  1.16597  -2.8712773e+00  +9.6018376e-03  +1.114e-48  +1.000e+00  +3.391e-05  -5.914e+00
29.500  55.913  1917947465560927701565440.000  1.16597  -2.8712582e+00  +9.5358697e-03  +1.109e-48  +1.000e+00  +3.344e-05  -5.911e+00
29.502  55.916  1922425234957949779050496.000  1.16597  -2.8712392e+00  +9.4703812e-03  +1.104e-48  +1.000e+00  +3.299e-05  -5.909e+00
29.504  55.918  1926913458111499791761408.000  1.16597  -2.8712203e+00  +9.4053686e-03  +1.098e-48  +1.000e+00  +3.253e-05  -5.907e+00
29.506  55.920  1931412159430748224356352.000  1.16597  -2.8712015e+00  +9.3408287e-03  +1.093e-48  +1.000e+00  +3.209e-05  -5.904e+00
29.508  55.923  1935921363381814143483904.000  1.16597  -2.8711829e+00  +9.2767578e-03  +1.088e-48  +1.000e+00  +3.165e-05  -5.902e+00
29.510  55.925  1940441094487897536462848.000  1.16597  -2.8711644e+00  +9.2131527e-03  +1.083e-48  +1.000e+00  +3.122e-05  -5.899e+00
29.512  55.927  1944971377329414334316544.000  1.16597  -2.8711461e+00  +9.1500101e-03  +1.078e-48  +1.000e+00  +3.079e-05  -5.897e+00
29.514  55.930  1949512236544127408275456.000  1.16597  -2.8711278e+00  +9.0873265e-03  +1.073e-48  +1.000e+00  +3.037e-05  -5.894e+00
29.516  55.932  1954063696827285350907904.000  1.16597  -2.8711097e+00  +9.0250986e-03  +1.068e-48  +1.000e+00  +2.996e-05  -5.892e+00
29.518  55.934  1958625782931754814799872.000  1.16597  -2.8710917e+00  +8.9633233e-03  +1.063e-48  +1.000e+00  +2.955e-05  -5.889e+00
29.520  55.937  1963198519668154461847552.000  1.16597  -2.8710739e+00  +8.9019972e-03  +1.058e-48  +1.000e+00  +2.915e-05  -5.887e+00
29.522  55.939  1967781931904991060033536.000  1.16597  -2.8710561e+00  +8.8411170e-03  +1.053e-48  +1.000e+00  +2.875e-05  -5.884e+00
29.524  55.941  1972376044568796922380288.000  1.16597  -2.8710385e+00  +8.7806796e-03  +1.048e-48  +1.000e+00  +2.836e-05  -5.882e+00
29.526  55.944  1976980882644262514065408.000  1.16597  -2.8710210e+00  +8.7206818e-03  +1.044e-48  +1.000e+00  +2.797e-05  -5.879e+00
29.528  55.946  1981596471174374696681472.000  1.16597  -2.8710036e+00  +8.6611204e-03  +1.039e-48  +1.000e+00  +2.759e-05  -5.876e+00
29.530  55.948  1986222835260553361883136.000  1.16597  -2.8709863e+00  +8.6019922e-03  +1.034e-48  +1.000e+00  +2.721e-05  -5.874e+00
29.532  55.951  1990860000062786722856960.000  1.16597  -2.8709692e+00  +8.5432942e-03  +1.029e-48  +1.000e+00  +2.684e-05  -5.871e+00
29.534  55.953  1995507990799771437629440.000  1.16597  -2.8709522e+00  +8.4850232e-03  +1.024e-48  +1.000e+00  +2.648e-05  -5.868e+00
29.536  55.955  2000166832749046826795008.000  1.16597  -2.8709353e+00  +8.4271761e-03  +1.019e-48  +1.000e+00  +2.612e-05  -5.866e+00
29.538  55.958  2004836551247134191517696.000  1.16597  -2.8709185e+00  +8.3697499e-03  +1.015e-48  +1.000e+00  +2.576e-05  -5.863e+00
29.540  55.960  2009517171689674520920064.000  1.16597  -2.8709018e+00  +8.3127416e-03  +1.010e-48  +1.000e+00  +2.541e-05  -5.860e+00
29.542  55.962  2014208719531566199472128.000  1.16597  -2.8708852e+00  +8.2561481e-03  +1.005e-48  +1.000e+00  +2.507e-05  -5.857e+00
29.544  55.965  2018911220287106204041216.000  1.16597  -2.8708688e+00  +8.1999664e-03  +1.001e-48  +1.000e+00  +2.473e-05  -5.855e+00
29.546  55.967  2023624699530127811280896.000  1.16597  -2.8708524e+00  +8.1441937e-03  +9.959e-49  +1.000e+00  +2.439e-05  -5.852e+00
29.548  55.969  2028349182894136694407168.000  1.16597  -2.8708362e+00  +8.0888268e-03  +9.913e-49  +1.000e+00  +2.406e-05  -5.849e+00
29.550  55.972  2033084696072456683651072.000  1.16597  -2.8708201e+00  +8.0338629e-03  +9.867e-49  +1.000e+00  +2.374e-05  -5.846e+00
